Проект,Категории,Цена,Заявки
Opencart шаблон перенести с версии 1.5 на 2.2.,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Верстка + интеграция интернет магазина на opencart,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,10 заявок
Нужен дизайн главной страницы онлайн казино,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",$150,17 заявок
Консультация и помощь по настройке Modx,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",$8,нет заявок
Копирайтер,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,9 заявок
Обзвон клиентов по базе данных,"<a class=""text-muted"" href=""/jobs/?category_id=56"">Служба поддержки</a>",None,3 заявки
Создание инфографики,"<a class=""text-muted"" href=""/jobs/?category_id=39"">Анимация</a>",None,5 заявок
Протестировать сайт и исправить ошибку,"<a class=""text-muted"" href=""/jobs/?category_id=37"">Тестирование сайтов</a>",$5,1 заявка
Дизайн по сетке Bootsrap (адаптив),"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",$150,22 заявки
Разработка сайта,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",$300,3 заявки
Сайт рекламной компании,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Настройка рекламы Yandex,"<a class=""text-muted"" href=""/jobs/?category_id=88"">Контекстная реклама</a>",None,18 заявок
Настройка регистрации на сайте,"<a class=""text-muted"" href=""/jobs/?category_id=54"">Системное администрирование</a>",None,2 заявки
Доработка приложения на IONIC-framework,"<a class=""text-muted"" href=""/jobs/?category_id=28"">ПО для мобильных устройств</a>",None,нет заявок
Требуется SMM раскрутка.,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",$100,8 заявок
Правки на сайте joomla,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$15,1 заявка
Landing page по пластиковым окнам (дизайн),"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$80,4 заявки
Сайт-визитка под ключ на Joomla,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",$125,12 заявок
"Flash-баннеры для сайта (редакция, новые), предложения up-grade сайта","<a class=""text-muted"" href=""/jobs/?category_id=8"">Баннеры</a>",$45,10 заявок
Написать рекламный текст на английском,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,3 заявки
Адпативная верстка лендинга на Bootstrap,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,33 заявки
"Написать 20 постов в соцсетях, подготовить фото и оформить страницы","<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,11 заявок
Логотип из готовых элементов,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",$8,26 заявок
Программирование WEBсервиса по проверке контрагента. Битрикс,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$47,1 заявка
Перевести инструкцию на английский,"<a class=""text-muted"" href=""/jobs/?category_id=50"">Переводы</a>",None,None
Дизайн и верстка блога на Wordpress,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,10 заявок
Доработка и сопровождение OpenCart магазинов,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,4 заявки
Ищу php symfony разработчика,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,6 заявок
Полезная статья о спортивных тренировках,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,None
Настроить Директ,"<a class=""text-muted"" href=""/jobs/?category_id=88"">Контекстная реклама</a>",None,10 заявок
Перерисовать иллюстрацию,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",$50,24 заявки
Доработка интернет-магазина на 1С-Битрикс,"<a class=""text-muted"" href=""/jobs/?category_id=83"">1С-программирование</a>",None,2 заявки
Написание краткого и полного описания для приложения (Play market),"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,7 заявок
Изменить размер картинки в OpenCart в YML листе,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,9 заявок
"Графика, прайс (тема Playboy)","<a class=""text-muted"" href=""/jobs/?category_id=60"">Презентации</a>",None,10 заявок
"Доработка amocrm, интеграция c PL-генератором","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Настройка rss-ленты,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
